,Existing account,Duration month,Credit history,Purpose,Credit amount,Saving,Employment duration,Installment rate,Personal status,Debtors,Residential Duration,Property,Age,Installment plans,Housing,Number of credits,Job,Liable People,Telephone,Foreign worker,Classification
0,0,0.12550150493665424,4,4,0.35831057421211665,4,4,1.0,2,0,1.0,0,0.9166849840933318,2,1,0.44250704934976004,2,0.0,1,0,1
1,1,0.8513107266136218,2,4,0.7369696681510196,0,2,0.44250704934976004,1,0,0.44250704934976004,0,0.10469050988644657,2,1,0.0,2,0.0,0,0,2
2,3,0.3563982738645374,4,7,0.49413518762052444,0,3,0.44250704934976004,2,0,0.7564707973660301,0,0.6863595503462365,2,1,0.0,1,1.0,0,0,1
3,0,0.8025904231702906,2,3,0.8023748216927071,0,3,0.44250704934976004,2,2,1.0,1,0.6239014662166538,2,2,0.0,2,1.0,0,0,1
4,0,0.6003077167403134,3,0,0.6903152128744525,0,2,0.7564707973660301,2,0,1.0,3,0.7440082242341943,2,2,0.44250704934976004,2,1.0,0,0,2
5,3,0.7465363402620467,2,7,0.8346650059017038,4,2,0.44250704934976004,2,0,1.0,3,0.4402892848174531,2,2,0.0,1,1.0,1,0,1
6,3,0.6003077167403134,2,3,0.5644066260213048,2,4,0.7564707973660301,2,0,1.0,1,0.7440082242341943,2,1,0.0,2,0.0,0,0,1
7,1,0.7465363402620467,2,1,0.7730195001479903,0,2,0.44250704934976004,2,0,0.44250704934976004,2,0.4402892848174531,2,0,0.0,3,0.0,1,0,1
8,3,0.3563982738645374,2,4,0.5821021838828035,3,3,0.44250704934976004,0,0,1.0,0,0.8474915411569031,2,1,0.0,1,0.0,0,0,1
9,1,0.6805425739815024,4,0,0.7070906804473929,0,0,1.0,3,0,0.44250704934976004,2,0.2783245389773006,2,1,0.44250704934976004,3,0.0,0,0,2
10,1,0.3563982738645374,2,0,0.38211844025518116,0,1,0.7564707973660301,1,0,0.0,2,0.19652738189166818,2,0,0.0,2,0.0,0,0,2
11,0,0.8513107266136218,2,9,0.6617786466207956,0,1,0.7564707973660301,1,0,1.0,1,0.16714859401602888,2,0,0.0,2,0.0,0,0,2
12,1,0.3563982738645374,2,4,0.42646616977603724,0,2,0.0,1,0,0.0,2,0.10469050988644657,2,1,0.0,2,0.0,1,0,1
13,0,0.6003077167403134,4,0,0.36420390392962587,0,4,1.0,2,0,1.0,2,0.8353113854424357,2,1,0.44250704934976004,1,0.0,0,0,2
14,0,0.43384612818214896,2,0,0.40075030870505124,0,2,0.44250704934976004,1,0,1.0,2,0.2783245389773006,2,0,0.0,2,0.0,0,0,1
15,0,0.6003077167403134,2,4,0.3797717254032573,1,2,1.0,1,0,0.44250704934976004,2,0.375112275481718,2,1,0.0,1,0.0,0,0,2
16,3,0.6003077167403134,4,4,0.5279627965307214,4,4,1.0,2,0,1.0,1,0.7440082242341943,2,1,0.44250704934976004,2,0.0,0,0,1
17,0,0.6805425739815024,0,9,0.8079187133555226,4,1,0.44250704934976004,2,0,0.7564707973660301,2,0.19652738189166818,0,1,0.7564707973660301,2,0.0,0,0,1
18,1,0.6003077167403134,2,1,0.9111733637252759,0,4,1.0,1,0,0.44250704934976004,3,0.607437878833482,2,2,0.0,3,0.0,1,0,2
19,3,0.6003077167403134,2,4,0.6087401170323283,2,4,0.7564707973660301,2,0,0.44250704934976004,2,0.3520623623141783,2,1,0.0,2,1.0,1,0,1
20,3,0.25853846123061575,4,0,0.49831555300812624,0,2,1.0,2,0,1.0,2,0.6712264483428281,2,1,0.7564707973660301,2,0.0,1,0,1
21,0,0.12550150493665424,2,4,0.5484406580243073,2,2,0.44250704934976004,2,0,0.7564707973660301,0,0.607437878833482,2,0,0.0,2,1.0,0,0,1
22,0,0.29408841067471125,4,0,0.5096985966030474,0,1,0.0,2,0,0.7564707973660301,0,0.6712264483428281,2,0,0.44250704934976004,1,1.0,0,1,1
23,1,0.3563982738645374,4,1,0.4592313738532465,1,1,0.7564707973660301,2,0,1.0,1,0.607437878833482,2,1,0.0,2,0.0,0,0,1
24,3,0.29408841067471125,4,3,0.49111863451756355,4,2,0.44250704934976004,3,0,0.0,2,0.22479726790398669,2,1,0.44250704934976004,2,0.0,0,1,1
25,0,0.12550150493665424,2,3,0.3958919469448039,0,2,0.0,2,0,0.44250704934976004,0,0.46081284458896565,0,1,0.0,1,0.0,1,0,1
26,3,0.12550150493665424,0,4,0.12368010732817214,0,4,1.0,3,0,1.0,2,0.5192109563302072,2,1,0.0,1,0.0,0,0,1
27,2,0.3563982738645374,1,4,0.11422322846301092,3,2,0.7564707973660301,1,0,0.7564707973660301,0,0.5733836932529157,2,0,0.44250704934976004,2,0.0,0,0,1
28,1,0.17530766695153333,2,4,0.5270972855929967,0,2,0.7564707973660301,2,2,0.44250704934976004,0,0.4191875211794285,2,1,0.0,2,0.0,0,0,1
29,0,0.9330159884761532,3,9,0.7692372178771856,0,4,0.7564707973660301,2,0,1.0,3,0.8712733186443855,2,1,0.44250704934976004,2,0.0,1,0,2
30,1,0.4979449260045862,2,9,0.47288001308553196,3,1,0.7564707973660301,3,0,0.7564707973660301,0,0.46081284458896565,0,1,0.0,2,0.0,1,0,1
31,0,0.6003077167403134,2,3,0.6456764452310764,0,2,0.44250704934976004,2,0,0.44250704934976004,2,0.2520389271633996,1,1,0.0,2,0.0,0,0,1
32,1,0.4979449260045862,2,0,0.7336214764609572,1,2,0.44250704934976004,2,0,0.44250704934976004,2,0.32828058482669586,2,1,0.44250704934976004,2,0.0,1,0,1
33,3,0.3563982738645374,4,9,0.3764828687908357,4,4,1.0,2,0,1.0,3,0.7975354953075078,2,0,0.0,1,0.0,0,0,1
34,2,0.3563982738645374,2,3,0.412233679380388,0,1,1.0,1,0,0.0,1,0.3974740277631241,0,1,0.0,3,0.0,1,0,1
35,1,0.8277454918906358,4,4,0.6843128035258255,0,1,1.0,2,0,0.44250704934976004,1,0.19652738189166818,2,1,0.44250704934976004,1,0.0,0,0,2
36,3,0.8513107266136218,4,7,0.7431063213729923,0,2,0.0,2,0,0.7564707973660301,3,0.3520623623141783,0,2,0.0,2,0.0,1,0,1
37,2,0.4979449260045862,2,4,0.4945787782076041,0,2,1.0,2,1,0.44250704934976004,0,0.48078904366979236,1,1,0.0,2,0.0,0,0,2
38,2,0.29408841067471125,2,5,0.3691934818958187,0,2,0.44250704934976004,2,0,0.44250704934976004,2,0.48078904366979236,2,1,0.0,2,0.0,1,0,1
39,1,0.25853846123061575,2,4,0.14050180554253577,0,2,1.0,2,0,0.7564707973660301,0,0.16714859401602888,2,1,0.0,2,0.0,0,0,1
40,3,0.6805425739815024,2,4,0.5190596553371256,2,4,1.0,2,0,0.44250704934976004,2,0.32828058482669586,0,1,0.0,3,0.0,0,0,1
41,1,0.3563982738645374,2,4,0.35611174722113526,2,2,0.7564707973660301,0,0,0.0,2,0.22479726790398669,2,1,0.0,2,0.0,1,0,1
42,1,0.4979449260045862,3,6,0.7466596161696972,0,2,0.44250704934976004,2,0,1.0,0,0.607437878833482,2,1,0.0,1,1.0,1,0,1
43,0,0.6805425739815024,4,1,0.7460210037249038,1,3,0.0,3,0,1.0,2,0.16714859401602888,2,0,0.44250704934976004,2,0.0,0,0,1
44,0,0.8513107266136218,4,1,0.7443599425138574,0,4,1.0,1,0,1.0,3,0.8103403040715502,1,2,0.44250704934976004,1,0.0,0,0,2
45,3,0.326542971765594,4,0,0.3990864410765027,0,1,1.0,1,0,1.0,2,0.4402892848174531,2,1,0.44250704934976004,3,0.0,0,0,1
46,3,0.7465363402620467,2,4,0.5156438326849428,2,4,1.0,2,0,1.0,2,0.5192109563302072,2,1,0.0,2,0.0,0,0,1
47,0,0.12550150493665424,2,1,0.39213744474179246,2,0,0.0,1,0,0.44250704934976004,1,0.1365703454007119,2,0,0.0,0,0.0,1,0,1
48,3,0.326542971765594,4,0,0.782214763318406,0,2,0.0,2,0,1.0,1,0.5192109563302072,2,1,0.44250704934976004,1,0.0,0,0,1
49,3,0.3563982738645374,2,4,0.49156800548748225,1,2,1.0,1,1,0.44250704934976004,0,0.2783245389773006,2,1,0.0,2,0.0,0,0,1
50,1,0.6003077167403134,3,3,0.5190596553371256,4,1,1.0,2,0,0.44250704934976004,1,0.3037189394167412,0,1,0.0,1,0.0,0,0,1
51,1,0.6425784273978855,3,1,0.737516544935835,0,4,0.0,2,0,0.44250704934976004,2,0.32828058482669586,2,1,0.44250704934976004,3,0.0,1,0,1
52,3,0.3563982738645374,2,4,0.3761145552802505,0,2,0.7564707973660301,2,0,0.44250704934976004,2,0.19652738189166818,2,1,0.0,2,0.0,0,0,1
53,3,0.4979449260045862,2,1,0.6051852013364387,4,2,0.44250704934976004,2,0,0.0,1,0.3520623623141783,2,1,0.0,2,0.0,1,0,1
54,1,0.7465363402620467,3,0,0.5080314518571785,0,4,1.0,2,0,1.0,3,0.7975354953075078,0,2,0.44250704934976004,2,0.0,1,0,2
55,3,0.12550150493665424,1,0,0.2651194654983029,4,2,0.0,2,2,0.44250704934976004,0,0.22479726790398669,1,1,0.0,1,1.0,0,0,1
56,1,0.3563982738645374,2,4,0.7563584089705371,4,0,0.44250704934976004,2,0,0.0,3,0.7300066376602561,2,1,0.0,3,0.0,1,0,2
57,3,0.7465363402620467,4,4,0.847442477391593,0,2,0.44250704934976004,1,0,0.44250704934976004,2,0.3520623623141783,1,1,0.44250704934976004,2,0.0,0,0,1
58,2,0.4979449260045862,2,0,0.4786456103786485,0,4,0.7564707973660301,1,0,0.44250704934976004,2,0.1365703454007119,2,1,0.0,3,0.0,0,0,1
59,0,0.7465363402620467,4,3,0.7475955808007568,0,1,1.0,1,1,1.0,3,0.1365703454007119,2,0,0.44250704934976004,1,0.0,1,0,2
60,1,0.25853846123061575,2,9,0.39875223557741934,0,2,0.44250704934976004,3,0,0.0,0,0.2520389271633996,0,1,0.0,2,0.0,1,0,1
61,1,0.43384612818214896,4,4,0.4219694280676536,4,4,1.0,2,2,1.0,0,0.7011929671798653,2,1,0.44250704934976004,2,0.0,1,0,1
62,1,0.7465363402620467,0,9,0.4776945402501529,0,4,1.0,2,0,1.0,3,0.8474915411569031,2,2,0.0,3,0.0,1,0,2
63,1,0.8513107266136218,0,9,0.9429811440791815,0,2,0.44250704934976004,2,0,0.44250704934976004,2,0.19652738189166818,2,1,0.0,2,0.0,1,0,2
64,3,0.6003077167403134,2,4,0.5912024901837536,0,1,1.0,1,0,1.0,1,0.22479726790398669,2,1,0.0,2,0.0,1,0,1
65,3,0.6425784273978855,2,6,0.7051259536546255,4,4,1.0,2,0,1.0,1,0.6712264483428281,2,1,1.0,2,1.0,1,0,1
66,3,0.3563982738645374,2,4,0.5023150204860445,0,1,0.44250704934976004,1,0,0.44250704934976004,2,0.3037189394167412,0,1,0.0,2,0.0,0,0,1
67,1,0.3563982738645374,2,0,0.32361895287674214,3,2,1.0,3,0,0.0,0,0.10469050988644657,2,1,0.0,2,0.0,0,0,1
68,3,0.7465363402620467,2,7,0.46115779111141175,0,2,1.0,2,0,1.0,3,0.48078904366979236,1,2,0.0,2,0.0,1,0,2
69,3,0.7465363402620467,2,4,0.5250651563314623,4,2,1.0,1,0,1.0,2,0.19652738189166818,2,1,0.0,2,0.0,0,0,1
70,3,0.7465363402620467,2,1,0.8096709545535274,0,2,0.0,1,0,0.44250704934976004,1,0.32828058482669586,0,1,0.0,2,0.0,0,0,1
71,3,0.17530766695153333,4,4,0.24882631256668364,4,4,1.0,2,0,0.44250704934976004,1,0.6400109703637957,2,0,0.44250704934976004,1,0.0,1,0,1
72,0,0.21923981534903902,4,2,0.3573136815101694,0,4,0.7564707973660301,2,0,1.0,3,0.7157383382218758,0,2,0.44250704934976004,3,1.0,1,0,1
73,1,0.8025904231702906,4,9,0.7370869642432596,0,3,0.44250704934976004,1,0,0.0,0,0.5557578665801408,0,1,0.44250704934976004,1,0.0,0,0,1
74,0,0.7465363402620467,2,7,0.48053617175691166,4,4,1.0,2,0,1.0,3,0.5377072805697165,2,1,0.0,3,0.0,1,0,2
75,0,0.3563982738645374,4,1,0.420298611764343,0,4,1.0,2,0,1.0,3,0.9055875504250546,2,2,0.44250704934976004,3,0.0,0,0,1
76,0,0.8025904231702906,2,4,0.6424705413054388,0,1,1.0,2,0,0.7564707973660301,2,0.4191875211794285,2,1,0.0,2,0.0,0,0,2
77,1,0.326542971765594,3,4,0.6855354877643007,0,3,0.44250704934976004,2,0,1.0,1,0.7157383382218758,2,1,0.0,2,0.0,0,0,1
78,3,0.8943961274150246,0,1,0.844257768515364,4,2,0.44250704934976004,2,0,0.44250704934976004,1,0.5192109563302072,2,1,0.0,1,1.0,0,0,1
79,1,0.6805425739815024,2,3,0.63453056036441,0,1,0.44250704934976004,3,0,0.0,1,0.10469050988644657,2,1,0.0,2,0.0,0,0,1
80,3,0.6003077167403134,2,4,0.7366565893006953,4,1,0.0,1,0,0.0,2,0.607437878833482,2,1,0.44250704934976004,2,0.0,1,0,2
81,3,0.43384612818214896,2,4,0.3669038822218016,2,4,1.0,2,0,0.7564707973660301,1,0.6557813017309195,1,1,0.0,2,0.0,1,0,1
82,3,0.4979449260045862,2,9,0.42661457532146896,1,2,0.7564707973660301,1,0,1.0,1,0.16714859401602888,2,0,0.0,1,0.0,0,0,1
83,0,0.6003077167403134,2,2,0.45282494286537833,0,4,1.0,1,2,1.0,0,0.8103403040715502,2,1,0.0,1,0.0,1,0,1
84,0,0.29408841067471125,2,4,0.5172575243477444,0,4,0.7564707973660301,2,0,1.0,0,0.7300066376602561,2,1,0.0,1,0.0,0,0,1
